AD:06,Sant Julià de Loria
AD:06:sant julià de lòria,Sant Julià de Loria:Sant Julià de Lòria
AD:07,Andorra la Vella
AD:07:andorra la vella,Andorra la Vella:Andorra la Vella
AE:AZ,Abu Dhabi
AE:AZ:abu dhabi,Abu Dhabi:Abu Dhabi
AE:AZ:al ain,Abu Dhabi:Al Ain
AE:DU,Dubai
AE:DU:dubai,Dubai:Dubai
AE:RK,Ra's al Khaymah
AE:RK:ras al-khaimah,Ra's al Khaymah:Ras al-Khaimah
AE:SH,Ash Shariqah
AE:SH:sharjah,Ash Shariqah:Sharjah
AF:KAB,Kabul
AF:KAB:kabul,Kabul:Kabul
AG:04,Parish of Saint John
AG:04:st john's,Parish of Saint John:St John's
AL:03,Qarku i Elbasanit
AL:03:elbasan,Qarku i Elbasanit:Elbasan
AL:04,Qarku i Fierit
AL:04:fier,Qarku i Fierit:Fier
AL:TR,Tirana District
AL:TR:tirana,Tirana District:Tirana
AM:ER,Yerevan
AM:ER:yerevan,Yerevan:Yerevan
AO:BGU,Benguela
AO:BGU:lobito,Benguela:Lobito
AO:LUA,Luanda Province
AO:LUA:luanda,Luanda Province:Luanda
AR:A,Salta
AR:A:general martin miguel de gueemes,Salta:General Martin Miguel de Gueemes
AR:A:salta,Salta:Salta
AR:A:tartagal,Salta:Tartagal
AR:B,Buenos Aires
AR:B:adrogue,Buenos Aires:Adrogue
AR:B:aldo bonzi,Buenos Aires:Aldo Bonzi
AR:B:arenaza,Buenos Aires:Arenaza
AR:B:arrecifes,Buenos Aires:Arrecifes
AR:B:avellaneda,Buenos Aires:Avellaneda
AR:B:ayacucho,Buenos Aires:Ayacucho
AR:B:azul,Buenos Aires:Azul
AR:B:bahía blanca,Buenos Aires:Bahía Blanca
AR:B:balcarce,Buenos Aires:Balcarce
AR:B:banfield,Buenos Aires:Banfield
AR:B:baradero,Buenos Aires:Baradero
AR:B:belen de escobar,Buenos Aires:Belen de Escobar
AR:B:bella vista,Buenos Aires:Bella Vista
AR:B:benavidez,Buenos Aires:Benavidez
AR:B:benito juarez,Buenos Aires:Benito Juarez
AR:B:berazategui,Buenos Aires:Berazategui
AR:B:berisso,Buenos Aires:Berisso
AR:B:bernal,Buenos Aires:Bernal
AR:B:boulogne,Buenos Aires:Boulogne
AR:B:brandsen,Buenos Aires:Brandsen
AR:B:campana,Buenos Aires:Campana
AR:B:canada seca,Buenos Aires:Canada Seca
AR:B:canuelas,Buenos Aires:Canuelas
AR:B:carhue,Buenos Aires:Carhue
AR:B:caseros,Buenos Aires:Caseros
AR:B:castelar,Buenos Aires:Castelar
AR:B:castelli,Buenos Aires:Castelli
AR:B:chacabuco,Buenos Aires:Chacabuco
AR:B:chascomus,Buenos Aires:Chascomus
AR:B:chivilcoy,Buenos Aires:Chivilcoy
AR:B:ciudadela,Buenos Aires:Ciudadela
AR:B:colon,Buenos Aires:Colon
AR:B:coronel pringles,Buenos Aires:Coronel Pringles
AR:B:coronel suárez,Buenos Aires:Coronel Suárez
AR:B:del viso,Buenos Aires:Del Viso
AR:B:el palomar,Buenos Aires:El Palomar
AR:B:el talar,Buenos Aires:El Talar
AR:B:ensenada,Buenos Aires:Ensenada
AR:B:esteban echeverria,Buenos Aires:Esteban Echeverria
AR:B:ezpeleta,Buenos Aires:Ezpeleta
AR:B:florida,Buenos Aires:Florida
AR:B:general las heras,Buenos Aires:General Las Heras
AR:B:general san martin,Buenos Aires:General San Martin
AR:B:glew,Buenos Aires:Glew
AR:B:gonzalez catan,Buenos Aires:Gonzalez Catan
AR:B:grand bourg,Buenos Aires:Grand Bourg
AR:B:hurlingham,Buenos Aires:Hurlingham
